,3P%,3P%Season Total,3PM-A,3PM-ASeason Total,AST,AST/TO,ASTSeason Total,BLK,BLKSeason Total,DBLDBL,DQ,DR,DRSeason Total,EJECT,FG%,FG%Season Total,FGM-A,FGM-ASeason Total,FLAG,FT%,FT%Season Total,FTM-A,FTM-ASeason Total,GP,GS,MIN,Name,OR,ORSeason Total,PF,PFSeason Total,PTS,PTSSeason Total,RAT,REB,REBSeason Total,SCEFF,SEASON,SEASONSeason Total,SHEFF,STL,STL/TO,STLSeason Total,TEAM,TEAMSeason Total,TECH,TO,TOSeason Total,TRIDBL
10,.349,.349,1.0-3.0,67-192,2.5,1.66,161,0.8,48,14,0,5.9,376,0,.479,.479,6.2-12.8,394-822,0,.802,.802,3.2-3.9,202-252,64,64,31.8,Kawhi Leonard,1.3,85,2.0,128,16.5,1057,31.04,7.2,461,1.286,'14-'15,'14-'15,.520,2.3,1.53,148,,,0,1.5,97,0
11,.443,.443,1.8-4.0,129-291,2.6,1.77,186,1.0,71,12,0,5.5,398,0,.506,.506,7.7-15.1,551-1090,0,.874,.874,4.1-4.6,292-334,72,72,33.1,Kawhi Leonard,1.3,95,1.8,133,21.2,1523,36.86,6.8,493,1.397,'15-'16,'15-'16,.565,1.8,1.22,128,,,0,1.5,105,0
12,.380,.380,2.0-5.2,147-387,3.5,1.69,260,0.7,55,9,0,4.7,350,0,.485,.485,8.6-17.7,636-1312,0,.880,.880,6.3-7.2,469-533,74,74,33.4,Kawhi Leonard,1.1,80,1.6,122,25.5,1888,40.80,5.8,430,1.439,'16-'17,'16-'17,.541,1.8,0.86,133,,,0,2.1,154,0
13,.379,.379,1.3-3.4,83-219,4.1,2.53,266,0.1,8,3,0,1.9,120,0,.448,.448,3.9-8.8,256-571,0,.832,.832,2.4-2.8,154-185,65,37,25.5,Isaiah Thomas,0.7,48,1.9,121,11.5,749,20.60,2.6,168,1.312,'11-'12,'11-'12,.521,0.8,0.50,53,,,1,1.6,105,0
14,.358,.358,1.5-4.1,115-321,4.0,2.26,316,0.0,3,2,0,1.7,132,0,.440,.440,4.6-10.5,366-832,1,.882,.882,3.2-3.6,253-287,79,62,26.9,Isaiah Thomas,0.4,29,2.1,167,13.9,1100,22.32,2.0,161,1.322,'12-'13,'12-'13,.509,0.8,0.48,67,,,3,1.8,140,0
15,.349,.349,1.8-5.1,127-364,6.3,2.13,454,0.1,8,7,0,2.3,163,1,.453,.453,6.9-15.2,496-1096,0,.850,.850,4.8-5.7,346-407,72,54,34.7,Isaiah Thomas,0.7,47,2.6,185,20.3,1465,33.10,2.9,210,1.337,'13-'14,'13-'14,.510,1.3,0.44,93,,,9,3.0,213,1
16,.345,.345,2.3-6.6,48-139,5.4,1.99,113,0.0,0,0,0,1.8,37,1,.412,.412,5.6-13.5,117-284,1,.861,.861,5.6-6.5,118-137,21,0,26.0,Isaiah Thomas,0.3,7,2.1,45,19.0,400,25.15,2.1,44,1.383,'14-'15,'14-'15,.502,0.6,0.40,12,,,3,2.6,54,0
17,.391,.391,1.8-4.5,81-207,3.7,1.99,171,0.1,5,0,0,1.8,83,0,.426,.426,4.7-11.1,218-512,0,.872,.872,4.0-4.6,184-211,46,1,25.7,Isaiah Thomas,0.6,26,2.3,105,15.2,701,25.15,2.4,109,1.383,'14-'15,'14-'15,.502,1.0,0.40,45,,,2,1.9,89,0
18,.359,.359,2.0-5.7,167-465,6.2,2.31,509,0.1,9,7,1,2.4,197,0,.428,.428,7.2-16.9,591-1382,0,.871,.871,5.8-6.6,474-544,82,79,32.2,Isaiah Thomas,0.6,46,2.0,167,22.2,1823,34.54,3.0,243,1.319,'15-'16,'15-'16,.488,1.1,0.41,91,,,14,2.7,220,0
19,.379,.379,3.2-8.5,245-646,5.9,2.13,448,0.2,13,5,0,2.1,162,1,.463,.463,9.0-19.4,682-1473,2,.909,.909,7.8-8.5,590-649,76,76,33.8,Isaiah Thomas,0.6,43,2.2,167,28.9,2199,42.69,2.7,205,1.493,'16-'17,'16-'17,.546,0.9,0.33,70,,,14,2.8,210,0
